INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('1', 'Anita', '6.1.2023.', '10.1.2023.', '123', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('2', 'Daniel', '6.8.2023.', '9.8.2023.', '124', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('3', 'Dominik', '3.1.2023.', '4.1.2023.', '125', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('4', 'Ivan', '7.7.2023.', '15.7.2023.', '126', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('5', 'Ajdina', '10.1.2023.', '13.1.2023.', '127', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('6', 'Jagoda', '10.1.2023.', '11.1.2023.', '128', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('7', 'Isic', '8.8.2023.', '11.8.2023.', '129', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('8', 'Matko', '13.1.2023.', '16.1.2023.', '130', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('9', 'Galić', '10.8.2023.', '20.8.2023.', '131', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('10', 'Irena', '13.9.2023.', '16.9.2023.', '132', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('11', 'Robert', '10.1.2023.', '15.1.2023.', '133', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('12', 'Zdenka', '16.1.2023.', '21.1.2023.', '134', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('13', 'Gordana', '15.1.2023.', '20.1.2023.', '135', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('14', 'Ana', '14.1.2023.', '21.1.2023.', '136', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('15', 'Mataić', '17.1.2023.', '19.1.2023.', '137', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('16', 'Cicak', '17.1.2023.', '18.1.2023.', '138', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('17', 'Graham', '16.8.2023.', '25.8.2023.', '139', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('18', 'Matea', '16.8.2023.', '25.8.2023.', '140', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('19', 'Damir', '16.8.2023.', '25.8.2023.', '141', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('20', 'Beth', '27.1.2023.', '1.2.2023.', '142', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('21', 'Kevin', '30.9.2023.', '1.10.2023.', '143', 'a@b.com', 'abc', '1', '-1');
INSERT INTO projekt_users (id_usera, username, datum_dolaska, datum_odlaska, password_hash, email, registration_sequence, has_registered, id_hotela) VALUES ('22', 'Andrea', '1.11.2023.', '2.11.2023.', '144', 'a@b.com', 'abc', '1', '-1');
